"pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG"
"D","Pouliot","Derrick","51 DERRICK POULIOT","Derrick Pouliot",496,494,0,0,0,3,0
"R","Rust","Bryan","36 BRYAN RUST","Bryan Rust",497,495,0,0,1,0,0
"D","Scuderi","Rob","4 ROB SCUDERI","Rob Scuderi",498,496,0,0,0,4,0
"C","Spaling","Nick","13 NICK SPALING","Nick Spaling",499,497,4,0,0,0,0
"C","Sutter","Brandon","16 BRANDON SUTTER","Brandon Sutter",500,498,4,0,0,0,0
"G","Zatkoff","Jeff","37 JEFF ZATKOFF","Jeff Zatkoff",501,499,0,0,0,0,1
"L","Carcillo","Dan","13 DANIEL CARCILLO","Dan Carcillo",502,500,0,1,0,0,0
"D","Rozsival","Michal","32 MICHAL ROZSIVAL","Michal Rozsival",503,501,0,0,0,1,0
"L","Sharp","Patrick","10 PATRICK SHARP","Patrick Sharp",504,502,0,1,0,0,0
"D","O'brien","Shane","74 SHANE O'BRIEN","Shane O'brien",505,503,0,0,0,1,0
"C","Trocheck","Vincent","21 VINCENT TROCHECK","Vincent Trocheck",506,504,1,0,0,0,0
"C","Carrick","Sam","53 SAM CARRICK","Sam Carrick",507,505,1,0,0,0,0
"R","Panik","Richard","18 RICHARD PANIK","Richard Panik",508,506,0,0,2,0,0
"D","Polak","Roman","46 ROMAN POLAK","Roman Polak",509,507,0,0,0,2,0
"L","Bellemare","Pierre-Edouard","78 PIERRE-EDOUARD BELLEMARE","Pierre-Edouard Bellemare",510,508,0,4,0,0,0
"D","Coburn","Braydon","5 BRAYDON COBURN","Braydon Coburn",511,509,0,0,0,2,0
"C","Couturier","Sean","14 SEAN COUTURIER","Sean Couturier",512,510,4,0,0,0,0
"D","Del zotto","Michael","15 MICHAEL DEL ZOTTO","Michael Del zotto",513,511,0,0,0,4,0
"G","Emery","Ray","29 RAY EMERY","Ray Emery",514,512,0,0,0,0,4
"R","Giroux","Claude","28 CLAUDE GIROUX","Claude Giroux",515,513,0,0,4,0,0
"D","Grossmann","Nicklas","8 NICKLAS GROSSMANN","Nicklas Grossmann",516,514,0,0,0,3,0
"L","Laughton","Scott","49 SCOTT LAUGHTON","Scott Laughton",517,515,0,3,0,0,0
"C","Lecavalier","Vincent","40 VINCENT LECAVALIER","Vincent Lecavalier",518,516,3,0,0,0,0
"G","Mason","Steve","35 STEVE MASON","Steve Mason",519,517,0,0,0,0,2
"L","Raffl","Michael","12 MICHAEL RAFFL","Michael Raffl",520,518,0,3,0,0,0
"R","Read","Matt","24 MATT READ","Matt Read",521,519,0,0,4,0,0
"C","Schenn","Brayden","10 BRAYDEN SCHENN","Brayden Schenn",522,520,4,0,0,0,0
"D","Schenn","Luke","22 LUKE SCHENN","Luke Schenn",523,521,0,0,0,3,0
"D","Schultz","Nick","55 NICK SCHULTZ","Nick Schultz",524,522,0,0,0,4,0
"R","Simmonds","Wayne","17 WAYNE SIMMONDS","Wayne Simmonds",525,523,0,0,4,0,0
"D","Streit","Mark","32 MARK STREIT","Mark Streit",526,524,0,0,0,4,0
"C","Umberger","R.j.","18 R.J. UMBERGER","R.j. Umberger",527,525,4,0,0,0,0
"C","Vandevelde","Chris","76 CHRIS VANDEVELDE","Chris Vandevelde",528,526,4,0,0,0,0
"R","Voracek","Jakub","93 JAKUB VORACEK","Jakub Voracek",529,527,0,0,4,0,0
"G","Copley","Pheonix","1 PHEONIX COPLEY","Pheonix Copley",530,528,0,0,0,0,1
"G","Mrazek","Petr","34 PETR MRAZEK","Petr Mrazek",531,529,0,0,0,0,2
"D","Ouellet","Xavier","61 XAVIER OUELLET","Xavier Ouellet",532,530,0,0,0,1,0
"L","Pulkkinen","Teemu","56 TEEMU PULKKINEN","Teemu Pulkkinen",533,531,0,2,0,0,0
"C","Weiss","Stephen","90 STEPHEN WEISS","Stephen Weiss",534,532,2,0,0,0,0
"C","Rendulic","Borna","71 BORNA RENDULIC","Borna Rendulic",535,533,1,0,0,0,0
"D","Stuart","Brad","17 BRAD STUART","Brad Stuart",536,534,0,0,0,1,0
"G","Varlamov","Semyon","1 SEMYON VARLAMOV","Semyon Varlamov",537,535,0,0,0,0,1
"D","Colaiacovo","Carlo","26 CARLO COLAIACOVO","Carlo Colaiacovo",538,536,0,0,0,1,0
"D","MacDonald","Andrew","47 ANDREW MACDONALD","Andrew MacDonald",539,537,0,0,0,3,0
"G","Zepp","Rob","72 ROB ZEPP","Rob Zepp",540,538,0,0,0,0,2
"D","Bartley","Victor","64 VICTOR BARTLEY","Victor Bartley",541,539,0,0,0,1,0
"L","Beck","Taylor","41 TAYLOR BECK","Taylor Beck",542,540,0,2,0,0,0
"L","Bourque","Gabriel","57 GABRIEL BOURQUE","Gabriel Bourque",543,541,0,2,0,0,0
"C","Cullen","Matt","7 MATT CULLEN","Matt Cullen",544,542,1,0,0,0,0
"D","Ekholm","Mattias","14 MATTIAS EKHOLM","Mattias Ekholm",545,543,0,0,0,2,0
"C","Fisher","Mike","12 MIKE FISHER","Mike Fisher",546,544,2,0,0,0,0
"L","Forsberg","Filip","9 FILIP FORSBERG","Filip Forsberg",547,545,0,2,0,0,0
"C","Gaustad","Paul","28 PAUL GAUSTAD","Paul Gaustad",548,546,2,0,0,0,0
"G","Hutton","Carter","30 CARTER HUTTON","Carter Hutton",549,547,0,0,0,0,2
"C","Jarnkrok","Calle","19 CALLE JARNKROK","Calle Jarnkrok",550,548,2,0,0,0,0
"C","Jokinen","Olli","13 OLLI JOKINEN","Olli Jokinen",551,549,1,0,0,0,0
"D","Jones","Seth","3 SETH JONES","Seth Jones",552,550,0,0,0,2,0
"D","Josi","Roman","59 ROMAN JOSI","Roman Josi",553,551,0,0,0,2,0
"G","Mazanec","Marek","39 MAREK MAZANEC","Marek Mazanec",554,552,0,0,0,0,1
"L","Neal","James","18 JAMES NEAL","James Neal",555,553,0,1,0,0,0
"C","Ribeiro","Mike","63 MIKE RIBEIRO","Mike Ribeiro",556,554,2,0,0,0,0
"C","Smith","Craig","15 CRAIG SMITH","Craig Smith",557,555,2,0,0,0,0
"D","Volchenkov","Anton","20 ANTON VOLCHENKOV","Anton Volchenkov",558,556,0,0,0,2,0
"D","Weber","Shea","6 SHEA WEBER","Shea Weber",559,557,0,0,0,1,0
"C","Wilson","Colin","33 COLIN WILSON","Colin Wilson",560,558,2,0,0,0,0
"L","Benn","Jamie","14 JAMIE BENN","Jamie Benn",561,559,0,2,0,0,0
"D","Benn","Jordie","24 JORDIE BENN","Jordie Benn",562,560,0,0,0,2,0
"L","Cole","Erik","72 ERIK COLE","Erik Cole",563,561,0,1,0,0,0
"C","Eakin","Cody","20 CODY EAKIN","Cody Eakin",565,562,2,0,0,0,0
"L","Fiddler","Vernon","38 VERNON FIDDLER","Vernon Fiddler",566,563,0,2,0,0,0
"C","Garbutt","Ryan","16 RYAN GARBUTT","Ryan Garbutt",567,564,1,0,0,0,0
"D","Goligoski","Alex","33 ALEX GOLIGOSKI","Alex Goligoski",568,565,0,0,0,2,0
"R","Hemsky","Ales","83 ALES HEMSKY","Ales Hemsky",569,566,0,0,2,0,0
"C","Horcoff","Shawn","10 SHAWN HORCOFF","Shawn Horcoff",570,567,2,0,0,0,0
"D","Jokipakka","Jyrki","2 JYRKI JOKIPAKKA","Jyrki Jokipakka",571,568,0,0,0,2,0
"D","Klingberg","John","3 JOHN KLINGBERG","John Klingberg",572,569,0,0,0,1,0
"G","Lehtonen","Kari","32 KARI LEHTONEN","Kari Lehtonen",573,570,0,0,0,0,2
"G","Lindback","Anders","29 ANDERS LINDBACK","Anders Lindback",574,571,0,0,0,0,1
"D","Oleksiak","Jamie","5 JAMIE OLEKSIAK","Jamie Oleksiak",576,572,0,0,0,2,0
"L","Roussel","Antoine","21 ANTOINE ROUSSEL","Antoine Roussel",577,573,0,2,0,0,0
"C","Sceviour","Colton","22 COLTON SCEVIOUR","Colton Sceviour",578,574,2,0,0,0,0
"C","Seguin","Tyler","91 TYLER SEGUIN","Tyler Seguin",579,575,2,0,0,0,0
"C","Spezza","Jason","90 JASON SPEZZA","Jason Spezza",580,576,2,0,0,0,0
"G","Fasth","Viktor","35 VIKTOR FASTH","Viktor Fasth",581,577,0,0,0,0,1
"D","Klefbom","Oscar","84 OSCAR KLEFBOM","Oscar Klefbom",583,578,0,0,0,1,0
"C","Lander","Anton","51 ANTON LANDER","Anton Lander",585,579,1,0,0,0,0
"C","Roy","Derek","8 DEREK ROY","Derek Roy",586,580,1,0,0,0,0
"R","Anderson","Josh","53 JOSH ANDERSON","Josh Anderson",587,581,0,0,1,0,0
"C","Letestu","Mark","55 MARK LETESTU","Mark Letestu",588,582,2,0,0,0,0
"R","Adams","Craig","27 CRAIG ADAMS","Craig Adams",589,583,0,0,3,0,0
"R","Bennett","Beau","19 BEAU BENNETT","Beau Bennett",590,584,0,0,3,0,0
"R","Downie","Steve","23 STEVE DOWNIE","Steve Downie",591,585,0,0,3,0,0
"D","Ehrhoff","Christian","10 CHRISTIAN EHRHOFF","Christian Ehrhoff",592,586,0,0,0,2,0
"G","Greiss","Thomas","1 THOMAS GREISS","Thomas Greiss",593,587,0,0,0,0,3
"D","Martin","Paul","7 PAUL MARTIN","Paul Martin",594,588,0,0,0,3,0
"C","Sill","Zach","38 ZACH SILL","Zach Sill",596,589,1,0,0,0,0
"L","Bournival","Michael","49 MICHAEL BOURNIVAL","Michael Bournival",597,590,0,1,0,0,0
"D","Gonchar","Sergei","55 SERGEI GONCHAR","Sergei Gonchar",598,591,0,0,0,1,0
"L","Thomas","Christian","60 CHRISTIAN THOMAS","Christian Thomas",599,592,0,1,0,0,0
"R","Weise","Dale","22 DALE WEISE","Dale Weise",600,593,0,0,2,0,0
"R","Jaskin","Dmitrij","23 DMITRIJ JASKIN","Dmitrij Jaskin",601,594,0,0,1,0,0
"R","Rattie","Ty","18 TY RATTIE","Ty Rattie",602,595,0,0,1,0,0
"C","Andreoff","Andy","15 ANDY ANDREOFF","Andy Andreoff",603,596,1,0,0,0,0
"L","Brown","Dustin","23 DUSTIN BROWN","Dustin Brown",604,597,0,2,0,0,0
"C","Carter","Jeff","77 JEFF CARTER","Jeff Carter",605,598,2,0,0,0,0
"L","Clifford","Kyle","13 KYLE CLIFFORD","Kyle Clifford",606,599,0,2,0,0,0
"D","Doughty","Drew","8 DREW DOUGHTY","Drew Doughty",607,600,0,0,0,2,0
"R","Gaborik","Marian","12 MARIAN GABORIK","Marian Gaborik",608,601,0,0,2,0,0
"D","Greene","Matt","2 MATT GREENE","Matt Greene",609,602,0,0,0,2,0
"G","Jones","Martin","31 MARTIN JONES","Martin Jones",610,603,0,0,0,0,2
"L","King","Dwight","74 DWIGHT KING","Dwight King",611,604,0,2,0,0,0
"C","Kopitar","Anze","11 ANZE KOPITAR","Anze Kopitar",612,605,2,0,0,0,0
"C","Lewis","Trevor","22 TREVOR LEWIS","Trevor Lewis",613,606,2,0,0,0,0
"D","Martinez","Alec","27 ALEC MARTINEZ","Alec Martinez",614,607,0,0,0,1,0
"D","McNabb","Brayden","3 BRAYDEN MCNABB","Brayden McNabb",615,608,0,0,0,2,0
"D","Muzzin","Jake","6 JAKE MUZZIN","Jake Muzzin",616,609,0,0,0,2,0
"C","Nolan","Jordan","71 JORDAN NOLAN","Jordan Nolan",617,610,2,0,0,0,0
"G","Quick","Jonathan","32 JONATHAN QUICK","Jonathan Quick",618,611,0,0,0,0,2
"D","Regehr","Robyn","44 ROBYN REGEHR","Robyn Regehr",619,612,0,0,0,2,0
"C","Stoll","Jarret","28 JARRET STOLL","Jarret Stoll",620,613,2,0,0,0,0
"C","Toffoli","Tyler","73 TYLER TOFFOLI","Tyler Toffoli",621,614,2,0,0,0,0
"L","Volpatti","Aaron","17 AARON VOLPATTI","Aaron Volpatti",622,615,0,2,0,0,0
"R","Williams","Justin","14 JUSTIN WILLIAMS","Justin Williams",623,616,0,0,2,0,0
"G","Hammond","Andrew","30 ANDREW HAMMOND","Andrew Hammond",624,617,0,0,0,0,2
"C","Lazar","Curtis","27 CURTIS LAZAR","Curtis Lazar",625,618,2,0,0,0,0
"D","Methot","Marc","3 MARC METHOT","Marc Methot",626,619,0,0,0,2,0
"R","Neil","Chris","25 CHRIS NEIL","Chris Neil",627,620,0,0,1,0,0
"D","Phillips","Chris","4 CHRIS PHILLIPS","Chris Phillips",628,621,0,0,0,1,0
"G","Andersen","Frederik","31 FREDERIK ANDERSEN","Frederik Andersen",629,622,0,0,0,0,1
"D","Beauchemin","Francois","23 FRANCOIS BEAUCHEMIN","Francois Beauchemin",630,623,0,0,0,2,0
"L","Beleskey","Matt","39 MATT BELESKEY","Matt Beleskey",631,624,0,2,0,0,0
"G","Bryzgalov","Ilya","80 ILYA BRYZGALOV","Ilya Bryzgalov",633,625,0,0,0,0,2
"C","Cogliano","Andrew","7 ANDREW COGLIANO","Andrew Cogliano",634,626,2,0,0,0,0
"D","Fowler","Cam","4 CAM FOWLER","Cam Fowler",635,627,0,0,0,2,0
"G","Grubauer","Philipp","31 PHILIPP GRUBAUER","Philipp Grubauer",636,628,0,0,0,0,3
"R","Jackman","Tim","18 TIM JACKMAN","Tim Jackman",637,629,0,0,2,0,0
"C","Karlsson","William","38 WILLIAM KARLSSON","William Karlsson",638,630,1,0,0,0,0
"C","Kesler","Ryan","17 RYAN KESLER","Ryan Kesler",639,631,2,0,0,0,0
"D","Lindholm","Hampus","47 HAMPUS LINDHOLM","Hampus Lindholm",640,632,0,0,0,2,0
"D","Lovejoy","Ben","6 BEN LOVEJOY","Ben Lovejoy",641,633,0,0,0,2,0
"L","Maroon","Patrick","19 PATRICK MAROON","Patrick Maroon",642,634,0,2,0,0,0
"R","Perry","Corey","10 COREY PERRY","Corey Perry",643,635,0,0,2,0,0
"R","Rakell","Rickard","67 RICKARD RAKELL","Rickard Rakell",644,636,0,0,2,0,0
"D","Schilling","Cameron","45 CAMERON SCHILLING","Cameron Schilling",645,637,0,0,0,4,0
"R","Silfverberg","Jakob","33 JAKOB SILFVERBERG","Jakob Silfverberg",646,638,0,0,2,0,0
"R","Smith-Pelly","Devante","12 DEVANTE SMITH-PELLY","Devante Smith-Pelly",647,639,0,0,2,0,0
"D","Stoner","Clayton","3 CLAYTON STONER","Clayton Stoner",648,640,0,0,0,2,0
"C","Thompson","Nate","44 NATE THOMPSON","Nate Thompson",649,641,2,0,0,0,0
"D","Vatanen","Sami","45 SAMI VATANEN","Sami Vatanen",650,642,0,0,0,2,0
"C","White","Ryan","25 RYAN WHITE","Ryan White",651,643,2,0,0,0,0
"D","Dillon","Brenden","4 BRENDEN DILLON","Brenden Dillon",652,644,0,0,0,1,0
"C","Goodrow","Barclay","89 BARCLAY GOODROW","Barclay Goodrow",653,645,1,0,0,0,0
"C","Karlsson","Melker","68 MELKER KARLSSON","Melker Karlsson",654,646,1,0,0,0,0
"D","Mueller","Mirco","41 MIRCO MUELLER","Mirco Mueller",655,647,0,0,0,1,0
"C","Sheppard","James","15 JAMES SHEPPARD","James Sheppard",656,648,1,0,0,0,0
"D","Tennyson","Matt","80 MATT TENNYSON","Matt Tennyson",657,649,0,0,0,1,0
"D","McBain","Jamie","5 JAMIE MCBAIN","Jamie McBain",658,650,0,0,0,1,0
"D","Oleksy","Steve","61 STEVE OLEKSY","Steve Oleksy",659,651,0,0,0,1,0
"C","Shore","Nick","37 NICK SHORE","Nick Shore",660,652,1,0,0,0,0
"C","Getzlaf","Ryan","15 RYAN GETZLAF","Ryan Getzlaf",661,653,1,0,0,0,0
"G","Gibson","John","36 JOHN GIBSON","John Gibson",662,654,0,0,0,0,1
"C","Palmieri","Kyle","21 KYLE PALMIERI","Kyle Palmieri",663,655,1,0,0,0,0
"L","Comeau","Blake","17 BLAKE COMEAU","Blake Comeau",664,656,0,2,0,0,0
"D","Byfuglien","Dustin","33 DUSTIN BYFUGLIEN","Dustin Byfuglien",665,657,0,0,0,1,0
"D","Chiarot","Ben","63 BEN CHIAROT","Ben Chiarot",666,658,0,0,0,1,0
"D","Enstrom","Tobias","39 TOBY ENSTROM","Tobias Enstrom",667,659,0,0,0,2,0
"R","Frolik","Michael","67 MICHAEL FROLIK","Michael Frolik",668,660,0,0,2,0,0
"L","Galiardi","T.j.","21 TJ GALIARDI","T.j. Galiardi",669,661,0,1,0,0,0
"G","Hutchinson","Michael","34 MICHAEL HUTCHINSON","Michael Hutchinson",670,662,0,0,0,0,2
"L","Ladd","Andrew","16 ANDREW LADD","Andrew Ladd",671,663,0,2,0,0,0
"C","Little","Bryan","18 BRYAN LITTLE","Bryan Little",672,664,1,0,0,0,0
"L","Lowry","Adam","17 ADAM LOWRY","Adam Lowry",673,665,0,2,0,0,0
"D","Pardy","Adam","2 ADAM PARDY","Adam Pardy",674,666,0,0,0,2,0
"G","Pavelec","Ondrej","31 ONDREJ PAVELEC","Ondrej Pavelec",675,667,0,0,0,0,2
"R","Peluso","Anthony","14 ANTHONY PELUSO","Anthony Peluso",676,668,0,0,1,0,0
"C","Scheifele","Mark","55 MARK SCHEIFELE","Mark Scheifele",677,669,2,0,0,0,0
"C","Slater","Jim","19 JIM SLATER","Jim Slater",678,670,2,0,0,0,0
"D","Stuart","Mark","5 MARK STUART","Mark Stuart",680,671,0,0,0,2,0
"R","Thorburn","Chris","22 CHRIS THORBURN","Chris Thorburn",681,672,0,0,2,0,0
"D","Trouba","Jacob","8 JACOB TROUBA","Jacob Trouba",682,673,0,0,0,2,0
"R","Wheeler","Blake","26 BLAKE WHEELER","Blake Wheeler",683,674,0,0,2,0,0
"R","Grabner","Michael","40 MICHAEL GRABNER","Michael Grabner",684,675,0,0,1,0,0
"R","McDonald","Colin","13 COLIN MCDONALD","Colin McDonald",685,676,0,0,1,0,0
"L","Mouillierat","Kael","48 KAEL MOUILLIERAT","Kael Mouillierat",686,677,0,1,0,0,0
"C","Rinaldo","Zac","36 ZAC RINALDO","Zac Rinaldo",687,678,1,0,0,0,0
"C","Staal","Jordan","11 JORDAN STAAL","Jordan Staal",688,679,2,0,0,0,0
"R","Kozun","Brandon","67 BRANDON KOZUN","Brandon Kozun",690,680,0,0,1,0,0
"C","Anisimov","Artem","42 ARTEM ANISIMOV","Artem Anisimov",692,681,1,0,0,0,0
"C","Dano","Marko","56 MARKO DANO","Marko Dano",694,682,1,0,0,0,0
"D","Falk","Justin","44 JUSTIN FALK","Justin Falk",695,683,0,0,0,1,0
"D","Goloubef","Cody","29 CODY GOLOUBEF","Cody Goloubef",697,684,0,0,0,1,0
"G","Backstrom","Niklas","32 NIKLAS BACKSTROM","Niklas Backstrom",698,685,0,0,0,0,1
"D","Brodin","Jonas","25 JONAS BRODIN","Jonas Brodin",700,686,0,0,0,2,0
"C","Brodziak","Kyle","21 KYLE BRODZIAK","Kyle Brodziak",701,687,2,0,0,0,0
"C","Coyle","Charlie","3 CHARLIE COYLE","Charlie Coyle",702,688,2,0,0,0,0
"D","Dumba","Matt","55 MATT DUMBA","Matt Dumba",703,689,0,0,0,2,0
"D","Folin","Christian","5 CHRISTIAN FOLIN","Christian Folin",704,690,0,0,0,2,0
"R","Fontaine","Justin","14 JUSTIN FONTAINE","Justin Fontaine",705,691,0,0,2,0,0
"C","Granlund","Mikael","64 MIKAEL GRANLUND","Mikael Granlund",706,692,2,0,0,0,0
"L","Haula","Erik","56 ERIK HAULA","Erik Haula",707,693,0,2,0,0,0
"C","Koivu","Mikko","9 MIKKO KOIVU","Mikko Koivu",708,694,2,0,0,0,0
"L","Parise","Zach","11 ZACH PARISE","Zach Parise",710,695,0,2,0,0,0
"R","Pominville","Jason","29 JASON POMINVILLE","Jason Pominville",711,696,0,0,2,0,0
"D","Prosser","Nate","39 NATE PROSSER","Nate Prosser",712,697,0,0,0,1,0
"C","Schroeder","Jordan","10 JORDAN SCHROEDER","Jordan Schroeder",713,698,1,0,0,0,0
"D","Suter","Ryan","20 RYAN SUTER","Ryan Suter",715,699,0,0,0,2,0
"L","Vanek","Thomas","26 THOMAS VANEK","Thomas Vanek",716,700,0,2,0,0,0
"D","Benoit","Andre","61 ANDRE BENOIT","Andre Benoit",717,701,0,0,0,2,0
"D","Bogosian","Zach","47 ZACH BOGOSIAN","Zach Bogosian",718,702,0,0,0,1,0
"R","D'amigo","Jerry","49 JERRY D'AMIGO","Jerry D'amigo",719,703,0,0,2,0,0
"C","Dalpe","Zac","20 ZAC DALPE","Zac Dalpe",720,704,2,0,0,0,0
"L","Ellis","Matt","37 MATT ELLIS","Matt Ellis",721,705,0,2,0,0,0
"G","Hackett","Matt","31 MATT HACKETT","Matt Hackett",722,706,0,0,0,0,2
"L","Larsson","Johan","22 JOHAN LARSSON","Johan Larsson",723,707,0,2,0,0,0
"C","Schaller","Tim","59 TIM SCHALLER","Tim Schaller",725,708,2,0,0,0,0
"C","Varone","Philip","84 PHILIP VARONE","Philip Varone",726,709,2,0,0,0,0
"G","Skapski","Mackenzie","70 MACKENZIE SKAPSKI","Mackenzie Skapski",727,710,0,0,0,0,1
"R","Eaves","Patrick","18 PATRICK EAVES","Patrick Eaves",729,711,0,0,1,0,0
"L","McKenzie","Curtis","11 CURTIS MCKENZIE","Curtis McKenzie",730,712,0,1,0,0,0
"D","Nemeth","Patrik","37 PATRIK NEMETH","Patrik Nemeth",731,713,0,0,0,1,0
"R","Ritchie","Brett","25 BRETT RITCHIE","Brett Ritchie",732,714,0,0,1,0,0
"D","Bartkowski","Matt","43 MATT BARTKOWSKI","Matt Bartkowski",733,715,0,0,0,2,0
"C","Campbell","Gregory","11 GREGORY CAMPBELL","Gregory Campbell",734,716,2,0,0,0,0
"R","Conner","Chris","23 CHRIS CONNER","Chris Conner",735,717,0,0,2,0,0
"R","Pastrnak","David","88 DAVID PASTRNAK","David Pastrnak",736,718,0,0,2,0,0
"C","Talbot","Max","25 MAX TALBOT","Max Talbot",737,719,1,0,0,0,0
"D","Ruhwedel","Chad","5 CHAD RUHWEDEL","Chad Ruhwedel",738,720,0,0,0,1,0
"G","Kuemper","Darcy","35 DARCY KUEMPER","Darcy Kuemper",739,721,0,0,0,0,1
"R","Niederreiter","Nino","22 NINO NIEDERREITER","Nino Niederreiter",740,722,0,0,1,0,0
"D","Spurgeon","Jared","46 JARED SPURGEON","Jared Spurgeon",741,723,0,0,0,1,0
"R","Halischuk","Matt","15 MATT HALISCHUK","Matt Halischuk",742,724,0,0,1,0,0
"C","O'dell","Eric","58 ERIC O'DELL","Eric O'dell",744,725,1,0,0,0,0
"R","Stempniak","Lee","20 LEE STEMPNIAK","Lee Stempniak",745,726,0,0,1,0,0
"C","Boucher","Reid","12 REID BOUCHER","Reid Boucher",747,727,1,0,0,0,0
"D","Fraser","Mark","32 MARK FRASER","Mark Fraser",748,728,0,0,0,1,0
"L","Arvidsson","Viktor","38 VIKTOR ARVIDSSON","Viktor Arvidsson",749,729,0,1,0,0,0
"D","Ellis","Ryan","4 RYAN ELLIS","Ryan Ellis",750,730,0,0,0,1,0
"G","Rinne","Pekka","35 PEKKA RINNE","Pekka Rinne",752,731,0,0,0,0,1
"L","Stalberg","Viktor","25 VIKTOR STALBERG","Viktor Stalberg",754,732,0,1,0,0,0
"D","Biega","Danny","41 DANNY BIEGA","Danny Biega",757,733,0,0,0,1,0
"D","Murphy","Ryan","7 RYAN MURPHY","Ryan Murphy",758,734,0,0,0,1,0
"L","Terry","Chris","25 CHRIS TERRY","Chris Terry",759,735,0,1,0,0,0
"L","De la rose","Jacob","25 JACOB DE LA ROSE","Jacob De la rose",760,736,0,1,0,0,0
"C","Smith","Zack","15 ZACK SMITH","Zack Smith",763,737,1,0,0,0,0
"R","Cleary","Daniel","11 DANIEL CLEARY","Daniel Cleary",764,738,0,0,1,0,0
"R","Galiev","Stanislav","49 STANISLAV GALIEV","Stanislav Galiev",766,739,0,0,2,0,0
"C","Krejci","David","46 DAVID KREJCI","David Krejci",767,740,1,0,0,0,0
"D","Trotman","Zach","62 ZACH TROTMAN","Zach Trotman",768,741,0,0,0,1,0
